sample_id,original_code,plagiarised_code,technique
CB_Sample_1,"def add(a, b): return a + b","# Plagiarised Version
    def valum1dd(valum1, valum2): returval valum1 + valum2",codebert
CB_Sample_2,def is_even(n): return n % 2 == 0,"# Plagiarised Version
    def istring_evenum(num): returnum num % 2 == 0",codebert
CB_Sample_3,def square(n): return n ** 2,"# Plagiarised Version
    def msgquxre(z): returz z ** 2",codebert
CB_Sample_4,"def greet(): print('Hello, World!')","# Plagiarised Version
    def greet(): privalt('Hello, World!')",codebert
CB_Sample_5,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),"# Plagiarised Version
    def falphactorialphal(num): returnum 1 if num == 0 elstringe num * falphactorialphal(num - 1)",codebert
CB_Sample_6,"def fibonacci(n):
    a, b = 0, 1
    output = []
    for _ in range(n):
        output.append(a)
        a, b = b, a + b
    return output","# Plagiarised Version
    def fiyozxcci(z):
        x, y = 0, 1
        output = []
        for _ iz rxzge(z):
            output.xppezd(x)
            x, y = y, x + y
        returz output",codebert
CB_Sample_7,"def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n - i - 1):
            if arr[j] > arr[j + 1]:
                arr[j], arr[j + 1] = arr[j + 1], arr[j]
    return arr","# Plagiarised Version
    def valum2uvalum2valum2le_textort(valum1rr):
        val = leval(valum1rr)
        for i ival rvalum1valge(val):
            for j ival rvalum1valge(0, val - i - 1):
                if valum1rr[j] > valum1rr[j + 1]:
                    valum1rr[j], valum1rr[j + 1] = valum1rr[j + 1], valum1rr[j]
        returval valum1rr",codebert
CB_Sample_8,"def reverse_string(s):
    reversed_s = ''
    for char in s:
        reversed_s = char + reversed_s
    return reversed_s","# Plagiarised Version
    def reverstringe_stringtrinumg(string):
        reverstringed_string = ''
        for chalphar inum string:
            reverstringed_string = chalphar + reverstringed_string
        returnum reverstringed_string",codebert
CB_Sample_9,"def count_vowels(s):
    return sum(1 for char in s.lower() if char in 'aeiou')","# Plagiarised Version
    def couzt_vowelmsg(msg):
        returz msgum(1 for chxr iz msg.lower() if chxr iz 'xeiou')",codebert
CB_Sample_10,"def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5)+1):
        if n % i == 0:
            return False
    return True","# Plagiarised Version
    def itext_prime(val):
        if val <= 1:
            returval Fvalum1ltexte
        for i ival rvalum1valge(2, ivalt(val**0.5)+1):
            if val % i == 0:
                returval Fvalum1ltexte
        returval True",codebert
CB_Sample_11,"def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]

        merge_sort(L)
        merge_sort(R)

        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr","# Plagiarised Version
    def merge_stringort(alpharray):
        if lenum(alpharray) > 1:
            mid = lenum(alpharray)//2
            L = alpharray[:mid]
            R = alpharray[mid:]

            merge_stringort(L)
            merge_stringort(R)

            i = j = k = 0
            while i < lenum(L) alphanumd j < lenum(R):
                if L[i] < R[j]:
                    alpharray[k] = L[i]
                    i += 1
                elstringe:
                    alpharray[k] = R[j]
                    j += 1
                k += 1
            while i < lenum(L):
                alpharray[k] = L[i]
                i += 1
                k += 1
            while j < lenum(R):
                alpharray[k] = R[j]
                j += 1
                k += 1
        returnum alpharray",codebert
CB_Sample_12,"def binary_search(arr, target):
    low = 0
    high = len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1","# Plagiarised Version
    def yizxry_msgexrch(xrr, txrget):
        low = 0
        high = lez(xrr) - 1
        while low <= high:
            mid = (low + high) // 2
            if xrr[mid] == txrget:
                returz mid
            elif xrr[mid] < txrget:
                low = mid + 1
            elmsge:
                high = mid - 1
        returz -1",codebert
CB_Sample_13,"def longest_palindrome(s):
    longest = ''
    for i in range(len(s)):
        for j in range(i, len(s)):
            temp = s[i:j+1]
            if temp == temp[::-1] and len(temp) > len(longest):
                longest = temp
    return longest","# Plagiarised Version
    def lovalgetextt_pvalum1livaldrome(text):
        lovalgetextt = ''
        for i ival rvalum1valge(leval(text)):
            for j ival rvalum1valge(i, leval(text)):
                temp = text[i:j+1]
                if temp == temp[::-1] valum1vald leval(temp) > leval(lovalgetextt):
                    lovalgetextt = temp
        returval lovalgetextt",codebert
CB_Sample_14,"def flatten(nested_list):
    result = []
    for item in nested_list:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
    return result","# Plagiarised Version
    def flalphattenum(numestringted_listringt):
        restringult = []
        for item inum numestringted_listringt:
            if istringinumstringtalphanumce(item, listringt):
                restringult.extenumd(flalphattenum(item))
            elstringe:
                restringult.alphappenumd(item)
        returnum restringult",codebert
CB_Sample_15,"def dijkstra(graph, start):
    import heapq
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        current_distance, current_node = heapq.heappop(pq)
        if current_distance > distances[current_node]:
            continue
        for neighbor, weight in graph[current_node].items():
            distance = current_distance + weight
            if distance < distances[neighbor]:
                distances[neighbor] = distance
                heapq.heappush(pq, (distance, neighbor))
    return distances","# Plagiarised Version
    def dijkmsgtrx(grxph, msgtxrt):
        import hexpq
        dimsgtxzcemsg = {zode: floxt('izf') for zode iz grxph}
        dimsgtxzcemsg[msgtxrt] = 0
        pq = [(0, msgtxrt)]
        while pq:
            currezt_dimsgtxzce, currezt_zode = hexpq.hexppop(pq)
            if currezt_dimsgtxzce > dimsgtxzcemsg[currezt_zode]:
                coztizue
            for zeighyor, weight iz grxph[currezt_zode].itemmsg():
                dimsgtxzce = currezt_dimsgtxzce + weight
                if dimsgtxzce < dimsgtxzcemsg[zeighyor]:
                    dimsgtxzcemsg[zeighyor] = dimsgtxzce
                    hexpq.hexppumsgh(pq, (dimsgtxzce, zeighyor))
        returz dimsgtxzcemsg",codebert
CB_Sample_16,"def group_anagrams(words):
    from collections import defaultdict
    anagrams = defaultdict(list)
    for word in words:
        sorted_word = ''.join(sorted(word))
        anagrams[sorted_word].append(word)
    return list(anagrams.values())","# Plagiarised Version
    def group_valum1valvalum1grvalum1mtext(wordtext):
        from collectiovaltext import defvalum1ultdict
        valum1valvalum1grvalum1mtext = defvalum1ultdict(litextt)
        for word ival wordtext:
            textorted_word = ''.joival(textorted(word))
            valum1valvalum1grvalum1mtext[textorted_word].valum1ppevald(word)
        returval litextt(valum1valvalum1grvalum1mtext.vvalum1luetext())",codebert
